geo_accession,title,description,char_0,char_1
"GSM4284687","pat 48 tumor [HDV_48A_S69]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284688","pat 48 non-tumor [HDV_48B_S32]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284689","pat 49 tumor [HDV_49A_S70]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284690","pat 49 non-tumor [HDV_49B_S66]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284691","pat 4 tumor [HDV_4A_S23]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284692","pat 4 non-tumor [HDV_4B_S20]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284693","pat 50 tumor [HDV_50A_S3]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284694","pat 50 non-tumor [HDV_50B_S36]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284695","pat 51 tumor [HDV_51A_S7]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284696","pat 51 non-tumor [HDV_51B_S39]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284697","pat 52 tumor [HDV_52A_S12]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284698","pat 52 non-tumor [HDV_52B_S41]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284699","pat 53 tumor [HDV_53A_S17]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284700","pat 53 non-tumor [HDV_53B_S21]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284701","pat 54 tumor [HDV_54A_S50]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284702","pat 54 non-tumor [HDV_54B_S43]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284703","pat 55 tumor [HDV_55A_S22]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284704","pat 55 non-tumor [HDV_55B_S45]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284705","pat 56 tumor [HDV_56A_S51]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284706","pat 56 non-tumor [HDV_56B_S68]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284707","pat 57 tumor [HDV_57A_S65]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284708","pat 57 non-tumor [HDV_57B_S3]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284709","pat 58 tumor [HDV_58A_S44]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284710","pat 58 non-tumor [HDV_58B_S51]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284711","pat 59 tumor [HDV_59A_S47]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284712","pat 59 non-tumor [HDV_59B_2_S69]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284713","pat 5 tumor [HDV_5A_S24]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284714","pat 5 non-tumor [HDV_5B_S25]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284715","pat 60 tumor [HDV_60A_S27]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284716","pat 60 non-tumor [HDV_60B_S47]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284717","pat 61 tumor [HDV_61A_S32]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284718","pat 61 non-tumor [HDV_61B_S1]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284719","pat 62 tumor [HDV_62A_S36]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284720","pat 62 non-tumor [HDV_62B_S9]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
"GSM4284721","pat 63 tumor [HDV_63A_S40]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: tumor"
"GSM4284722","pat 63 non-tumor [HDV_63B_S53]","","subject status: hepatocellular carcinoma patient","tumor/non-tumor: non-tumor"
